°C	ಡಿಗ್ರಿ ಸೆಲ್ಸಿಯಸ್  
V	ವೋಲ್ಟ್  
Pa	ಪಾಸ್ಕಲ್  
A	ಅಂಪಿಯರ್  
J	ಜೌಲ್  
s	ಸೆಕೆಂಡ್  
hr	ಘಂಟೆ  
h	ಘಂಟೆಗಳು  
min	ನಿಮಿಷ  
ha	ಹೆಕ್ಟೇರ್  
ha²	ವರ್ಗ ಹೆಕ್ಟೇರ್  
Ω	ಓಮ್  
MΩ	ಮೆಗಾಓಮ್  
doz	ದರ್ಜನ್  
Hz	ಹರ್ಟ್ಜ್  
GHz	ಗಿಗಾಹರ್ಟ್ಜ್  
KHz	ಕಿಲೋಹರ್ಟ್ಜ್  
N	ನ್ಯೂಟನ್  
dB	ಡೆಸಿಬೆಲ್  
yr	ವರ್ಷ  
yr	ವರ್ಷ  
hp	ಹಾರ್ಸ್‌ಪವರ್  
d	ದಿನ  
month	ತಿಂಗಳು  
months	ತಿಂಗಳುಗಳು  
ct	ಕ್ಯಾರೆಟ್  
pH	ಪಿಹೆಚ್  
km/hr	ಕಿಲೋಮೀಟರ್ ಪ್ರತಿ ಗಂಟೆ  
km/min	ಕಿಲೋಮೀಟರ್ ಪ್ರತಿ ನಿಮಿಷ  
m/hr	ಮೀಟರ್ ಪ್ರತಿ ಗಂಟೆ  
mi/s	ಮೈಲು ಪ್ರತಿ ಸೆಕೆಂಡ್  
mi/hr	ಮೈಲು ಪ್ರತಿ ಗಂಟೆ  
mi/min	ಮೈಲು ಪ್ರತಿ ನಿಮಿಷ  
₹/ac	ರೂಪಾಯಿಗಳು ಪ್ರತಿ ಎಕರೆ  
x	ಗುಣಿಸಿ  
X	ಗುಣಿಸಿ  
*	ಗುಣಿಸಿ  
-	ಇಂದ  
